,98.30488,8.10068,0
,98.30498,8.10067,0
,98.30499,8.10069,0
,98.30502,8.10073,0
,98.30512,8.10095,0
,98.30525,8.10136,0
,98.30588,8.10117,0
,98.3062,8.10111,0
,98.30653,8.10107,0
,98.30664,8.10107,0
,98.30702,8.10111,0
,98.30719,8.10111,0
,98.30718,8.10141,0
,98.30709,8.10185,0
,98.30706,8.10223,0
,98.30707,8.10252,0
,98.30711,8.10287,0
,98.30766,8.10641,0
,98.30772,8.10667,0
,98.30804,8.10783,0
,98.30817,8.10824,0
,98.30841,8.10876,0
,98.30848,8.10894,0
,98.30859,8.10914,0
,98.30872,8.1093,0
,98.30906,8.10966,0
,98.30907,8.10968,0
,98.31,8.11071,0
,98.3101,8.11077,0
,98.31026,8.11081,0
,98.3103,8.11081,0
,98.31204,8.11107,0
,98.31217,8.11107,0
,98.31233,8.11104,0
,98.31238,8.11104,0
,98.32349,8.1121,0
,98.33074,8.11269,0
,98.33076,8.1127,0
,98.33103,8.11271,0
,98.3317,8.11264,0
,98.33351,8.11236,0
,98.33354,8.11235,0
,98.3352,8.11209,0
,98.33594,8.11723,0
,98.33596,8.11763,0
,98.33598,8.11775,0
,98.33612,8.12245,0
,98.33615,8.1228,0
,98.33624,8.12338,0
,98.33626,8.12346,0
,98.33634,8.12394,0
,98.33643,8.12436,0
,98.33682,8.12579,0
,98.33724,8.12729,0
,98.33738,8.12766,0
,98.33746,8.12792,0
,98.33753,8.12808,0
,98.33786,8.12866,0
,98.33807,8.12891,0
,98.3381,8.12896,0
,98.33822,8.12909,0
,98.33843,8.12929,0
,98.33924,8.12986,0
,98.33943,8.13006,0
,98.33963,8.13047,0
,98.34054,8.13314,0
,98.34065,8.13359,0
,98.3407,8.13398,0
,98.34087,8.13478,0
,98.34089,8.13484,0
,98.34094,8.13517,0
,98.34106,8.13573,0
,98.34137,8.13784,0
,98.34139,8.1381,0
,98.34138,8.13838,0
,98.34119,8.1398,0
,98.34118,8.14027,0
,98.34142,8.14168,0
,98.34158,8.1423,0
,98.34188,8.14302,0
,98.34194,8.14328,0
,98.34196,8.14346,0
,98.34196,8.14359,0
,98.34192,8.14396,0
,98.34115,8.146,0
,98.34106,8.1463,0
,98.3406,8.14763,0
,98.34032,8.14874,0
,98.34,8.14966,0
,98.33932,8.1512,0
,98.33804,8.15436,0
,98.33788,8.15472,0
,98.33777,8.15492,0
,98.33756,8.15517,0
,98.33741,8.1553,0
,98.33715,8.15547,0
,98.33687,8.15558,0
,98.3367,8.15563,0
,98.33643,8.15566,0
,98.32491,8.15533,0
,98.32468,8.15536,0
,98.3244,8.15542,0
,98.32421,8.15549,0
,98.32393,8.15565,0
,98.32374,8.15579,0
,98.3235,8.15599,0
,98.32281,8.15649,0
,98.32185,8.15724,0
,98.32165,8.15736,0
,98.32158,8.15741,0
,98.32121,8.15757,0
,98.32081,8.15769,0
,98.32042,8.15774,0
,98.32024,8.15774,0
,98.32014,8.15775,0
,98.31971,8.15775,0
,98.31846,8.15769,0
,98.31816,8.15769,0
,98.31719,8.15762,0
,98.31404,8.15755,0
,98.31347,8.15759,0
,98.31235,8.15785,0
